code,name,description,geographicZone,facilityType,supportedPrograms,enabled,active
WHR2HCC2,Kafuta Minor Health Centre,,KOE,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
WHR1HSP3,Kanifing General Hospital,,KAM,GHSP,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
CRRHCC2,Kaur Health Centre,,LOS,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
NBERHCC1,Kerewan Minor Health Centre,,LOB,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
NBWRHCC2,Kerr Cherno Minor Health Center,,UPN,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
LRRHCC3,Kiang Karantaba Minor Health Centre,,KIW,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
URRHCC4,Koina Minor Health Centre,,KTR,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
CRRHCC3,Kudang Minor Health Centre,,NIE,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
NBWRHCC1,Kuntair Major Health Center,,JKD,MJHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
CRRHCC1,Kuntaur Major Health Centre,,NIA,MJHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
LRRHCC2,Kwinella Minor Health Centre,,KIC,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
LRRRMS,LRR RMS,,JAW,RMS,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
NBERRMS,NBER RMS,,UPB,RMS,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
NBWRRMS,NBWR RMS,,LON,RMS,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
NBERHCC4,Ngenyen Sanjal Minor Health Centre,,SAS,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
NBERHCC2,Njaba Kunda Minor Health Centre,,CEB,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
CRRHCC6,Sami Karantaba Minor Health Center,,SAM,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
WHR2HCC1,Sanyang Major Health Centre,,KOS,MJHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
WHR1HCC3,Sere kunda Minor Health Centre,,KAM,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
LRRHSP1,Soma District Hospital,,JAW,DHSP,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
WHR1HCC7,SOS Bakoteh NGO Clinic,,KAM,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
WHR1HCC6,Sukuta Minor Health Centre,,KON,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
URRRMS,URR RMS,,BAS,RMS,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
WHR1RMS,WHR1 RMS,,KAM,RMS,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
WHR2RMS,WHR2 RMS,,KOC,RMS,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
URRHCC5,Yorobawol Minor Health Centre,,WUW,MNHCC,"[HIV,TB,MLA,RMNCAH,EM,LC]",TRUE,TRUE
