referenceName,isRefDataFacility
CEPHEID HBDC SAS,FALSE
BIOTEST BIOTECH CO. LTD,FALSE
SERENBA PHARMACEUTICALS,FALSE
STAR PHARMACEUTICALS,FALSE
VICTORY PHARMACEUTICALS,FALSE
STANDARD SOLUTIONS PHARMACY,FALSE
COFARAS PHARMACEUTICALS,FALSE
ICA GAMBIA LTD,FALSE
JACK MA FOUNDATION,FALSE
REPUBLIC OF CHINA,FALSE
WEST AFRICAN HEALTH ORGANISATION (WAHO),FALSE
INSTITUT PASTEUR DE DAKAR,FALSE
MR. JABBI & KOREAN PARTNERS,FALSE
MBOWE NGALA,FALSE
AU AFRICA CDC,FALSE
Mr. MODOU JAGNE,FALSE
MINISTRY OF HEALTH,FALSE
LABMATE,FALSE
TURKEY (TMS),FALSE
EMCURE PHARMACEUTICALS LTD,FALSE
INDIA GOVERNMENT,FALSE
MP BIOMEDICALS ASIA PECIFIC PTE LTD,FALSE
UNITED ARAB EMIRATES,FALSE
BIO-RAD,FALSE
FISHER SCIENTIFIC GMBH,FALSE
ISLAMIC WORLD LEAGUE,FALSE
SUPPORT OUR OWN,FALSE
MINISTRY OF FOREIGN AFFAIRS,FALSE
LIFE TECHNOLOGIES LIMITED,FALSE
SYSMEX EUROPE GMBH,FALSE
MISSION PHARMA,FALSE
ALPHA CHEMIKA,FALSE
ARKRAY HEALTHCARE PVT. LTD.,FALSE
STRATLAB LABORATORY SUPPLIES,FALSE
WORLD TRANS & LOGISTICS GMB LTD.,FALSE
UN DEVELOPMENT PROGRAM,FALSE
GAMBIA RED CROSS SOCIETY,FALSE
T & T GLOBAL,FALSE
ORTHOPRIMED ENTERPRISE,FALSE
WORLD TRANS & LOGISTICS GAMBIA LTD.,FALSE
PROJECT AID,FALSE
OFFICE OF THE FIRST LADY,FALSE
MR. SANYANG (LATRIKUNDA),FALSE
ELHELLA COMPANY LIMITED,FALSE
GLOBAL FUND/ PFSCM,FALSE
KPI HEALTH CARE,
PHARMILY PHARMACY,FALSE
WUXI NEST BIOTECHNOLOGY CO.LTD,FALSE
KOREAN INTERNATIONAL COOPERATION AGENCY,FALSE
SANGOL HOLDING CO.LTD,FALSE
IMMY,FALSE
WUXI NEST BIOTECHNOLOGY CO. LTD.,FALSE
LUMIRADX LABORATORY,FALSE
MEDIFF,FALSE
AL-NURU PHARMACY LIMITED,FALSE
BGI HEALTH (HK) COMPANY LIMITED,FALSE
CHINA MEHECO CORPORATION,FALSE
S KANT HEALTHCARE LTD,FALSE
LDBIO DIAGNOSTICS,FALSE
AFRICAN UNION,FALSE
WORLD FEDERATION FOR HEMOPHILIA,FALSE
MERIL DIAGNOSTICS PRIVATE LIMITED,FALSE
MICRO LAB LIMITED,FALSE
MEDICAL EXPORT GROUP BV,FALSE
ORION PHARMA,FALSE
UNFPA,FALSE
Donation,FALSE
Procured by Facility,FALSE
Accident and Emergency,FALSE
Haemodialysis Clinic,FALSE
IDC,FALSE
Laboratory,FALSE
Ndemban Clinic,FALSE
Paediatrics,FALSE
Pharmacy Dispensary/Outpatients,FALSE
Poly Clinic,FALSE
Tanka Tanka Hospital,FALSE
Theatres,FALSE
Wards,FALSE
ART Clinic,FALSE
Laboratory,FALSE
Pharmacy Dispensary/Outpatients,FALSE
Wards,FALSE
CENTRAL MEDICAL STORE,FALSE
