code,name,description,geographicZone,facilityType,supportedPrograms,enabled,active
WHR2HCC3,Gunjur Minor Health Centre,,KOS,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
WHR2HCC4,Hands-On-Care,,KOC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
NBERRMS,NBER RMS,,UPB,RMS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
NBERHSP1,Farafenni General Hospital,,UPB,HSP,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
NBERHCC1,Kerewan Minor Health Centre,,LOB,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
NBERHCC2,Njaba Kunda Minor Health Centre,,CEB,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
NBERHCC3,Illiassa Minor Health Centre,,UPB,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
NBERHCC4,Ngenyen Sanjal Minor Health Centre,,SAS,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
NBWRRMS,NBWR RMS,,LON,RMS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
NBWRHSP1,Essau District Hospital,,LON,HSP,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
NBWRHCC1,Kuntair Minor Health Center,,JKD,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
NBWRHCC2,Kerr Cherno Minor Health Center,,UPN,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
NBWRHCC3,Albreda Minor Health Center,,UPN,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
LRRRMS,LRR RMS,,JAW,RMS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
LRRHSP1,Soma District Hospital,,JAW,HSP,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
LRRHCC1,Bureng Major Health Centre,,JAE,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
LRRHCC2,Kwinella Minor Health Centre,,KIC,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
LRRHCC3,Kiang Karantaba Minor Health Centre,,KIW,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
URRRMS,URR RMS,,BAS,RMS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
URRHSP1,Basse District Hospital,,BAS,HSP,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
URRHCC1,Badja Kunda Major Health Centre,,WUE,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
URRHCC2,Gambisara Minor Health Centre,,JMR,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
URRHCC3,Fatoto Minor Health Centre,,KTR,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
URRHCC4,Koina Minor Health Centre,,KTR,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
URRHCC5,Yorobawol Minor Health Centre,,WUW,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
URRHCC6,Diabugu Minor Health Centre,,KTR,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
CRRRMS,CRR RMS,,UFW,RMS,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
CRRHSP1,Bansang Hospital,,UFW,HSP,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
CRRHCC1,Kuntaur Major Health Centre,,NIA,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
CRRHCC2,Kaur Health Centre,,LOS,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
CRRHCC3,Kudang Minor Health Centre,,NIE,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
CRRHCC4,BrikamaBa Minor Health Centre,,LFW,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
CRRHCC5,Janjangbureh Minor Health Centre,,JAB,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
CRRHCC6,Sami Karantaba Minor Health Center,,SAM,HCC,"[HIV,TB,MLA,RMNCAH,EM,LAB]",TRUE,TRUE
